text,id_str
PROMISES MADE PROMISES KEPT! #SHALEINSIGHT2019 https://t.co/kCkw3K8k5o,1187116372997922821
It was wonderful to be back in Pittsburgh Pennsylvania with the incredible Patriots who fuel our factories light up our homes power our industries and fill our hearts with true American Pride! #SHALEINSIGHT2019 https://t.co/hWmN7zNud3,1187114497384898560
It would be really great if the people within the Trump Administration all well-meaning and good (I hope!) could stop hiring Never Trumpers who are worse than the Do Nothing Democrats. Nothing good will ever come from them!,1187081515051601920
....Does anybody think this is fair? Even though there was no quid pro quo I’m sure they would like to try. Worse than the Dems!,1187080935373713408
Never Trumper Republican John Bellinger represents Never Trumper Diplomat Bill Taylor (who I don’t know) in testimony before Congress! Do Nothing Democrats allow Republicans Zero Representation Zero due process and Zero Transparency....,1187080923961012228
The Never Trumper Republicans though on respirators with not many left are in certain ways worse and more dangerous for our Country than the Do Nothing Democrats. Watch out for them they are human scum!,1187063301731209220
Thank you General Mazloum for your kind words and courage. Please extend my warmest regards to the Kurdish people. I look forward to seeing you soon. @mustefabali,1187044861725286400
https://t.co/7Ud0WLyo4g,1187037466261446656
Where’s the Whistleblower?,1186985677176655872
Big success on the Turkey/Syria Border. Safe Zone created! Ceasefire has held and combat missions have ended. Kurds are safe and have worked very nicely with us. Captured ISIS prisoners secured. I will be making a statement at 11:00 A.M. from the White House. Thank you!,1186985455058898945
Young campus Conservatives are flocking to Turning Point USA &amp; other Conservative speaker events all over the Country AND IN RECORD NUMBERS. Thousands of students are turning out. “I just want to compliment the President of the United States for signing that historic Executive..,1186982946336624640
....Order a couple of months ago saying that any school that does not uphold the First Amendment Rights of its students will lose Federal Funding. We have seen a huge change in how the Universities interact with us as a national &amp; local student organization. Our studends....,1186982948404449280
....feel EMPOWERED. There’s a movement happening on these campuses like I’ve never seen before. When you have 3000 students wanting to get into an event that couldn’t get in that’s pretty remarkable!”  @charliekirk11 Turning Point USA   KEEP AMERICA GREAT!,1186982949180317697
Republicans are going to fight harder than ever to win back the House because of what the Do Nothing Democrats have done to our Country!,1186969632944611335
Neither he (Taylor) or any other witness has provided testimony that the Ukrainians were aware that military aid was being withheld. You can’t have a quid pro quo with no quo.” Congressman John Ratcliffe @foxandfriends Where is the Whistleblower? The Do Nothing Dems case is DEAD!,1186968579125792768
It never ends. The Do Nothing Dems are terrible! https://t.co/l7Qk0WU8ML,1186959459878350848
Thank you Steve! https://t.co/ROfsFdSGZO,1186858593364172800
The Democrats Scam goes on and on! They Do Nothing! https://t.co/4ER1m6e39s,1186857437657214976
The Witch Hunt continues! https://t.co/pBzhZfJEYb,1186856923636948993
The Do Nothing Dems have nothing but time! https://t.co/g9wsBfk16W,1186856554055852035
Wrong never even discussed this with Kellyanne Conway or Steve Mnuchin. Just more Fake News! https://t.co/bgR8TnytjJ,1186850642901557248
Wrong never even discussed this with Kellyanne Conway ot Steve Mnuchin. Just more Fake News! https://t.co/bgR8TnytjJ,1186849398610903040
Good news seems to be happening with respect to Turkey Syria and the Middle East. Further reports to come later!,1186768817822806016
Great Job Tim! https://t.co/WhgO67CfKP,1186645111154847746
“The Democrats are trying to draw out this inquiry because they don’t have the support. Donald Trump is guilty only of winning the 2016 Election.” @MZHemingway @foxandfriends,1186638807984230403
Can’t believe that Nervous Nancy Pelosi isn’t moving faster on USMCA. Her people want it they don’t know why she isn’t putting it up for a bipartisan vote. Taking too long!,1186635396567961601
95% Approval Rating in the Republican Party. Thank you!,1186612453368651777
Thank you Republicans. 185 out of 185 present voted for “US” last night. Really good!,1186611810931236870
So some day if a Democrat becomes President and the Republicans win the House even by a tiny margin they can impeach the President without due process or fairness or any legal rights. All Republicans must remember what they are witnessing here - a lynching. But we will WIN!,1186611272231636992
....@kilmeade   “I want to know about Hillary Clinton with the Dossier? I want to know if there was FISA abuse? We’re still waiting for that report!” @ainsleyearhardt  @foxandfriends,1186607396917002241
...A majority do not want him Impeached and removed from office. 94% of the people in these battleground states who voted for President Trump want him to continue as President. That’s squarely in his corner.” @SteveDoocy “That’s a revealing poll don’t you think that matters?”...,1186607396090724353
“I thought a very revealing poll was done by The New York Times. By about a 10 point margin those in battleground states polled are against impeaching the President and if Nancy Pelosi doesn’t take note of that maybe she is the third rate politician.” @kilmeade @foxandfriends,1186603407769034752
“The Ambassador to the European Union has already testified he said there was no quid pro quo. He said the President had told him that.” @kilmeade  @foxandfriends,1186600971130015744
Congratulations to @JustinTrudeau on a wonderful and hard fought victory. Canada is well served. I look forward to working with you toward the betterment of both of our countries!,1186500787922448384
Thank you Liz. Shows great Republican support! https://t.co/WsuTmv6Tfh,1186440600712814593
Thank you Dan and Kevin. Great Vote! https://t.co/MMJ5SanakG,1186439731237789696
Will be interviewed by @seanhannity tonight at 9:00 P.M. on @FoxNews. Enjoy!,1186418453202247684
Doral in Miami would have been the best place to hold the G-7 and free but too much heat from the Do Nothing Radical Left Democrats &amp; their Partner the Fake News Media! I’m surprised that they allow me to give up my $400000 Plus Presidential Salary! We’ll find someplace else!,1186270381491081218
Censure (at least) Corrupt Adam Schiff! After what he got caught doing any pol who does not so vote cannot be honest....are you listening Dems?,1186258762920792065
Great new book by wonderful and very street smart author Dan Bongino EXONERATED THE FAILED TAKEDOWN OF PRESIDENT DONALD TRUMP BY THE SWAMP. Dan hits all of the crooked points of the greatest Witch Hunt in political history. Nevertheless the Scam continues!,1186257181689237504
https://t.co/oSn6amjZo4,1186128505316229121
Thank you John so nice! https://t.co/OgNZ4kvFT1,1186114296524267520
https://t.co/R3Chppjx6S,1186114286642515969
https://t.co/6sKKniiOfE,1186113259780345857
A Great Democrat Scam! https://t.co/LbkVT7UvXX,1186101761368571904
